Title,Caption,Sentiment,Emotion,Desire,Inference Sequence
Little Redhead Boy Learning to Fish in Summer,"Little redhead boy is learning to fish in summer. It is his first time and he is very concentrated on the task. Taken at Lac St-Joseph, Quebec, Canada",neutral,neutral,none,S-E-D
Relaxing in Sydney,"Young woman relaxes and reads a magazine in Sydney, Australia.",neutral,neutral,none,S-E-D
Businesspeople shouting in fear,Businesspeople shouting in fear,negative,fear,none,S-E-D
Boy crying in a corner,Boy crying in a corner,negative,sad,none,D-S-E
Pouting mixed race girl playing with clay,Pouting mixed race girl playing with clay,negative,anger,none,E-D-S
Portrait Of Girl Hugging Father Leg,Portrait Of Girl Hugging Father Leg,negative,fear,curiosity,D-E-S
Cheerful young women dancing on bed at home,Full length of cheerful young women dancing on bed enjoying slumber party at home,positive,happiness,social-contact,S-E-D
Overweight mother and her son in the park,"Modern real parents with body positive attitude, tattoos, piercings and positive lifestyle, spending afternoon with their kids in the park.",positive,happiness,family,D-S-E
Field Trip To The Pond,Multi-ethnic group of school children are on a school science trip to a pond outdoors. In this frame a hispanic female teacher is standing next to a young female student of african descent examining her findings from the pond.,positive,happiness,curiosity,D-S-E
Child victim,Child is protected from blow,negative,fear,tranquility,D-S-E
Fly Fishing on Mountain Lake,Fly Fishing on Mountain Lake - Man casting and fishing in scenic landscape environment.,neutral,neutral,none,D-S-E
Happy couple receive good news from professional businesswoman,Smiling mature couple get good advice,positive,happiness,romance,D-S-E
Brothers holding a freshly caught rainbow trout or steelhead on a fall day.,Two young fisherman holding a freshly caught rainbow trout or Steelhead on a fall day.,neutral,neutral,none,S-E-D
Portrait of blond young woman using cell phone,Portrait of blond young woman using cell phone,negative,sad,none,S-E-D
Sleeping in over the weekend,Cropped shot of a handsome young man sleeping in bed at home,neutral,neutral,none,S-E-D
Portrait of young woman sleeping on bed with applying facial mask for enhance her skin.,Facial mask is a creamy or thick pasted mask applied to clean or smoothen the face.,neutral,neutral,none,S-E-D
Learning to ride a bicycle,Photo of a young boy who is learning to ride a bicycle with a little help from his mother; wide photo dimensions,positive,happiness,family,D-S-E
Girl fear of flying,Girl fear of flying,negative,fear,none,S-E-D
Happy father helping son with homework,Father embracing son from behind while helping him with homework,neutral,neutral,family,D-S-E
Little explorers,Little boys and girl looking at a butterfly,positive,happiness,curiosity,D-S-E
Hispanic couple shopping for refrigerator,Hispanic couple shopping for refrigerator,positive,happiness,curiosity,D-S-E
Young beautiful woman is looking through the window and drinking coffee in the morning,Young beautiful woman is looking through the window and drinking coffee in the morning,neutral,neutral,none,S-E-D
"Young boy, arms crossed and annoyed","Young boy, arms crossed and annoyed",negative,anger,none,S-E-D
Young Woman Rests in the Grass With Pet Poodle Dog,"Happy young adult woman enjoys time at a park with her standard poodle, running, playing, and relaxing with the dog.",neutral,neutral,none,D-S-E
Back view of girl running on flower meadow at evening twilight,Back view of girl running on flower meadow at evening twilight,positive,happiness,none,S-E-D
Two Business Colleagues Sitting Face to Face Whilst a Colleague Watches Them,Two Business Colleagues Sitting Face to Face Whilst a Colleague Watches Them,negative,sad,romance,S-D-E
Do not disturb,Shot of a young woman sleeping with a mask on in bed,neutral,neutral,none,S-D-E
Studio portrait of a beautiful girl,Studio portrait of a beautiful girl,positive,happiness,none,S-E-D
Happy woman is being splashed on dirt road in the countryside,Happy woman is being splashed on dirt road in the countryside,positive,happiness,social-contact,S-E-D
Resting women in foggy bush,Resting women in foggy bush,neutral,neutral,none,S-E-D
Dangerous behaviour,Young beautiful teenager looking at a plate of cereal with an attitude of dislike,negative,disgust,none,S-E-D
Young woman reading from the computer and taking notes at her notebook,Young woman reading from the computer and taking notes at her notebook,neutral,neutral,none,S-E-D
Senior couple watching digital tablet together at home,Elderly man sitting on sofa in the living room at home and showing something on digital tablet his wife. Senior woman peeking on screen.,neutral,neutral,none,S-D-E
The sun's up and so is my mood,Shot of an attractive young woman relaxing at home,positive,happiness,none,S-E-D
Some time to think,Japanese businessman working on a project using digital tablet and looking outside the window,neutral,neutral,none,S-E-D
Caucasian girl with scared face against,Caucasian girl with blonde curly hair and scared face against gray wall.,negative,fear,none,S-D-E
"Portrait of mature woman dancing, smiling and having fun","Portrait of mature woman dancing, smiling and having fun",positive,happiness,none,S-E-D
Pouting Vietnamese girl holding violin in bedroom,Pouting Vietnamese girl holding violin in bedroom,negative,sad,none,E-S-D
"Man peers through closed blinds, looking worried","Mature man frowns, peering through closed venetian blinds nervously.",negative,fear,curiosity,D-S-E
Texting,Young man addicted to social media texting in the dusk at home,positive,happiness,none,S-E-D
Angry Businessman Throwing Paper Balls In Office,Angry Businessman Throwing Paper Balls In Office,negative,anger,none,D-S-E
Found my queen in you,Shot of a happy young couple on their wedding day,positive,happiness,romance,D-S-E
Worried woman,Young woman biting her nails for a concerned concept,negative,fear,none,S-E-D
Father helps son with school assignment at home,Serious mid adult father sits at the kitchen table with his preteen son and drinks coffee. He gestures as he talks to him about his homework.,neutral,neutral,family,D-S-E
Sad girl,Sad girl,negative,sad,none,S-D-E
Police pursuit,Police in pursuit of a reckless driver at night. About 30 years old scared Caucasian man.,negative,fear,tranquility,S-E-D
Father and daughter in car reacting to a crash,"Photo of Teenage driver and her father or instructor about to have a car accident. Woman Driver - Car Accident, yells in fear or frustration. Student girl sitting scared in a car. Incident happens. Car Crash Accident with a Scared Driver and a shocked gray hair instructor.",negative,fear,tranquility,D-S-E
Coronavirus quarantine. The woman in an antiviral mask is indoors by the window. House arrest.,The person in a medical mask is in compulsory isolation. Looks from a window through blinds. Drastic measures of precaution from a virus are taken. Terrible epidemic. Optimism and hope for rescue.,negative,fear,curiosity,D-S-E
Happy father playing with son on sofa at home,Happy father playing with son on sofa at home,positive,happiness,family,E-S-D
Everyday's a School Day,Mother and son are sitting beside each other on the sofa in their home. The mother is interacting with her son using a red and green choice board and a digital tablet to support his autism.,neutral,neutral,family,D-S-E
Smiling senior couple hugging in park,Smiling senior couple hugging in park,positive,happiness,romance,D-E-S
Young woman watching couple have quality time together,Young woman watching couple have quality time together,negative,sad,romance,D-S-E
Children observing grasshopper in garden,Children observing grasshopper in garden,positive,happiness,curiosity,D-S-E
Poverty Stricken Little Girl Looking Sad,Small little girl in poverty holding a doll and looking sad. Concept of child social issues.,negative,sad,none,S-E-D
Jealous Female Checking her Boyfriend's Smartphone,Jealous Female Checking her Boyfriend's Smartphone,negative,sad,romance,S-E-D
Something went wrong with my food,"Young woman inside her kitchen opening the stove, burning food inside it, negative expression.",negative,disgust,none,S-E-D
"Mature woman squinting eyes and frowning, portrait, close-up","Mature woman squinting eyes and frowning, portrait, close-up",negative,disgust,none,S-E-D
Two excited female friends with laptop and credit card in a cafe,Two excited female friends with laptop and credit card in a cafe,positive,happiness,social-contact,S-E-D
At our anniversary party,"Portrait of a senior couple who celebrates their anniversary at a family dinner, together with their children, grandchildren and friends",positive,happiness,romance,D-S-E
Granddaughter reading book with grandmother at public park picnic,Granddaughter reading book with grandmother at public park picnic,positive,happiness,family,D-S-E
University student doing research.,Student in library.,neutral,neutral,none,D-S-E
"Canada, British Columbia, two men at Blue Lake","Canada, British Columbia, two men at Blue Lake",neutral,neutral,none,S-E-D
Lonely young woman looking through concrete window,Lonely young woman looking through concrete window. This is entirely 3D generated image.,neutral,neutral,none,S-E-D
Man proposing surprised girlfriend on footpath,Man proposing surprised girlfriend on footpath. Shot in New Jersey,positive,happiness,romance,D-S-E
